nodeid,longitude,latitude,elevation,norm_longitude,norm_latitude
0,-121.269814,40.0,687,0.1217252171408133,1.0
1,-120.953934,40.0,1003,0.174383802200564,1.0
2,-120.57737,40.0,1682,0.2371586769138743,1.0
3,-120.034241,39.953167,1339,0.3277006695848834,0.9921943165664394
4,-120.024017,39.957504,1335,0.3294050553441925,0.9929171668867552
5,-120.003197,39.963436,1341,0.3328758408986565,0.9939058567876348
6,-119.999908,39.963299,1344,0.3334241316617984,0.9938830229177052
7,-120.949043,39.932281,1119,0.1751991534083874,0.9887132347610176
8,-120.94857,39.934582,1059,0.1752780045883711,0.9890967437734784
9,-120.950081,39.940945,1042,0.1750261142438575,0.9901572686958142
10,-120.949707,39.945534,1041,0.1750884616884948,0.9909221200031536
11,-120.938858,39.959572,1090,0.1768970376961991,0.9932618416532792
12,-120.934013,39.969318,1035,0.1777047205017412,0.9948862131593428
13,-120.935493,39.975224,1055,0.1774579979935467,0.9958705696250524
14,-120.941147,39.987419,1099,0.1765154513304842,0.9979031173899258
15,-120.876984,39.932041,1063,0.1872117055826979,0.9886732338209944
16,-120.890648,39.9328,1075,0.1849338566962323,0.9887997367938148
17,-120.90284,39.931091,1078,0.1829013966827828,0.9885148967667412
18,-120.903557,39.93092,1078,0.182781869629825,0.988486396096975
19,-120.942673,39.93071,1172,0.1762610604200084,0.9884513952744552
20,-120.941406,39.930397,1188,0.1764722748915502,0.9883992273818434
21,-120.923813,39.926048,1276,0.1794051053555127,0.9876743770145268
22,-120.568733,39.980831,1689,0.2385985027944665,0.9968050915863192
23,-120.560806,39.976456,1692,0.2399199685528824,0.9960759077838328
24,-120.551537,39.968231,1707,0.2414651516126488,0.9947050422351597
25,-120.529877,39.96146,1690,0.2450759688609522,0.9935765157147864
26,-120.537483,39.952572,1843,0.2438080152141108,0.9920951475693018
27,-120.535881,39.949867,1836,0.24407507565879,0.9916443036411352
28,-120.521393,39.94429,1829,0.2464902889687358,0.9907147817973726
29,-120.515091,39.935986,1772,0.2475408600813319,0.989330749272608
30,-120.495071,39.925964,1843,0.2508782821178532,0.9876603766855188
31,-120.491692,39.916672,1764,0.2514415762767637,0.98611167362433
32,-120.486153,39.90514,1765,0.2523649519341207,0.9841896284562692
33,-120.472473,39.890839,1817,0.2546454680909454,0.9818060724427023
34,-120.452507,39.875095,1764,0.2579738880900047,0.9791820107772536
35,-120.44072,39.862801,1687,0.2599388328224955,0.9771329626246212
36,-120.438301,39.861717,1659,0.2603420907598759,0.9769522917121884
37,-120.430252,39.860542,1667,0.2616838944547788,0.9767564537766642
38,-120.422592,39.847919,1584,0.2629608501390822,0.9746525710020848
39,-120.41938,39.835415,1560,0.2634963046636214,0.972568522026934
40,-120.41758,39.82127,1486,0.2637963725789934,0.970210966624382
41,-120.409378,39.823303,1491,0.2651636820467024,0.9705498079204866
42,-120.384323,39.820766,1487,0.2693404607242779,0.9701269646503358
43,-120.471123,39.807129,1476,0.2548705190274721,0.9678540779041648
44,-120.470482,39.807091,1478,0.2549773765462241,0.9678477444219938
45,-120.423737,39.819748,1491,0.2627699736040251,0.9699572939964084
46,-120.430931,39.821861,1504,0.2615707021689238,0.9703094689391863
47,-120.437149,39.821934,1491,0.2605341342257121,0.9703216358917766
48,-120.443558,39.819489,1488,0.2594657257425936,0.9699141263153012
49,-120.450493,39.81543,1489,0.2583096307464264,0.969237610417178
50,-120.460289,39.806725,1504,0.2566765944692142,0.9677867429884602
