start_nodeid,end_nodeid,distance,longitude_x,latitude_x,elevation_x,longitude_y,latitude_y,elevation_y,mean_longitude,mean_latitude,mean_elevation,norm_longitude_x,norm_longitude_y,norm_longitude,norm_latitude_x,norm_latitude_y,norm_latitude
1,14,0.017938,-120.953934,40.0,1003,-120.941147,39.987419,1099,-120.9475405,39.9937095,1051.0,0.174383802200564,0.1765154513304842,0.1754496267655241,1.0,0.9979031173899258,0.9989515586949629
13,14,0.013442,-120.935493,39.975224,1055,-120.941147,39.987419,1099,-120.93832,39.9813215,1077.0,0.17745799799354678,0.1765154513304842,0.17698672466201548,0.9958705696250524,0.9979031173899258,0.9968868435074891
2,22,0.021025,-120.57737,40.0,1682,-120.568733,39.980831,1689,-120.5730515,39.9904155,1685.5,0.23715867691387438,0.23859850279446657,0.23787858985417049,1.0,0.9968050915863192,0.9984025457931596
3,4,0.011105,-120.034241,39.953167,1339,-120.024017,39.957504,1335,-120.029129,39.9553355,1337.0,0.3277006695848834,0.32940505534419257,0.32855286246453796,0.9921943165664394,0.9929171668867552,0.9925557417265973
3,124,0.03213,-120.034241,39.953167,1339,-120.014008,39.928207,1437,-120.0241245,39.940687,1388.0,0.3277006695848834,0.33107359965805505,0.32938713462146924,0.9921943165664394,0.988034218804142,0.9901142676852908
4,5,0.021649,-120.024017,39.957504,1335,-120.003197,39.963436,1341,-120.013607,39.96047,1338.0,0.32940505534419257,0.3328758408986565,0.3311404481214245,0.9929171668867552,0.9939058567876348,0.993411511837195
5,6,0.003291,-120.003197,39.963436,1341,-119.999908,39.963299,1344,-120.0015525,39.9633675,1342.5,0.3328758408986565,0.3334241316617984,0.33314998628022746,0.9939058567876348,0.9938830229177051,0.9938944398526699
7,8,0.002348,-120.949043,39.932281,1119,-120.94857,39.934582,1059,-120.9488065,39.9334315,1089.0,0.17519915340838746,0.17527800458837112,0.1752385789983793,0.9887132347610175,0.9890967437734784,0.9889049892672479
7,19,0.006562,-120.949043,39.932281,1119,-120.942673,39.93071,1172,-120.945858,39.9314955,1145.5,0.17519915340838746,0.17626106042000841,0.17573010691419794,0.9887132347610175,0.9884513952744552,0.9885823150177364
7,419,0.007671,-120.949043,39.932281,1119,-120.956543,39.933895,1150,-120.952793,39.933088,1134.5,0.17519915340838746,0.17394887042767396,0.1745740119180307,0.9887132347610175,0.9889822410826654,0.9888477379218414
418,419,0.029143,-120.983757,39.944321,1063,-120.956543,39.933895,1150,-120.97015,39.939108,1106.5,0.16941217695605143,0.17394887042767396,0.1716805236918627,0.9907199485854588,0.9889822410826654,0.9898510948340621
8,9,0.00654,-120.94857,39.934582,1059,-120.950081,39.940945,1042,-120.9493255,39.9377635,1050.5,0.17527800458837112,0.17502611424385753,0.17515205941611434,0.9890967437734784,0.9901572686958142,0.9896270062346464
9,10,0.004604,-120.950081,39.940945,1042,-120.949707,39.945534,1041,-120.949894,39.9432395,1041.5,0.17502611424385753,0.1750884616884948,0.17505728796617614,0.9901572686958142,0.9909221200031537,0.990539694349484
10,11,0.017742,-120.949707,39.945534,1041,-120.938858,39.959572,1090,-120.9442825,39.952553,1065.5,0.1750884616884948,0.1768970376961991,0.17599274969234696,0.9909221200031537,0.9932618416532791,0.9920919808282165
11,12,0.010884,-120.938858,39.959572,1090,-120.934013,39.969318,1035,-120.9364355,39.964445,1062.5,0.1768970376961991,0.17770472050174127,0.1773008790989702,0.9932618416532791,0.9948862131593428,0.9940740274063109
12,13,0.006088,-120.934013,39.969318,1035,-120.935493,39.975224,1055,-120.934753,39.972271,1045.0,0.17770472050174127,0.17745799799354678,0.177581359247644,0.9948862131593428,0.9958705696250524,0.9953783913921976
15,16,0.013685,-120.876984,39.932041,1063,-120.890648,39.9328,1075,-120.883816,39.9324205,1069.0,0.18721170558269792,0.18493385669623233,0.18607278113946513,0.9886732338209945,0.9887997367938147,0.9887364853074045
15,63,0.007234,-120.876984,39.932041,1063,-120.869812,39.931095,1068,-120.873398,39.931568,1065.5,0.18721170558269792,0.18840730952105547,0.1878095075518767,0.9886732338209945,0.9885155634490742,0.9885943986350343
15,686,0.004038,-120.876984,39.932041,1063,-120.87796,39.928123,1063,-120.877472,39.930082,1063.0,0.18721170558269792,0.18704900209080616,0.18713035383675203,0.9886732338209945,0.9880202184751341,0.9883467261480643
16,17,0.012311,-120.890648,39.9328,1075,-120.90284,39.931091,1078,-120.896744,39.9319455,1076.5,0.18493385669623233,0.18290139668278282,0.18391762668950756,0.9887997367938147,0.9885148967667411,0.9886573167802779
17,18,0.000737,-120.90284,39.931091,1078,-120.903557,39.93092,1078,-120.9031985,39.9310055,1078.0,0.18290139668278282,0.18278186962982504,0.18284163315630392,0.9885148967667411,0.988486396096975,0.988500646431858
18,21,0.020834,-120.903557,39.93092,1078,-120.923813,39.926048,1276,-120.913685,39.928484,1177.0,0.18278186962982504,0.17940510535551277,0.1810934874926689,0.988486396096975,0.9876743770145268,0.9880803865557508
20,21,0.018123,-120.941406,39.930397,1188,-120.923813,39.926048,1276,-120.9326095,39.9282225,1232.0,0.17647227489155023,0.17940510535551277,0.1779386901235315,0.9883992273818434,0.9876743770145268,0.9880368021981851
19,20,0.001305,-120.942673,39.93071,1172,-120.941406,39.930397,1188,-120.9420395,39.9305535,1180.0,0.17626106042000841,0.17647227489155023,0.17636666765577932,0.9884513952744552,0.9883992273818434,0.9884253113281494
22,23,0.009054,-120.568733,39.980831,1689,-120.560806,39.976456,1692,-120.5647695,39.9786435,1690.5,0.23859850279446657,0.23991996855288242,0.2392592356736745,0.9968050915863192,0.9960759077838327,0.996440499685076
23,24,0.012392,-120.560806,39.976456,1692,-120.551537,39.968231,1707,-120.5561715,39.9723435,1699.5,0.23991996855288242,0.2414651516126488,0.24069256008276563,0.9960759077838327,0.9947050422351597,0.9953904750094962
24,25,0.022694,-120.551537,39.968231,1707,-120.529877,39.96146,1690,-120.540707,39.9648455,1698.5,0.2414651516126488,0.2450759688609522,0.2432705602368005,0.9947050422351597,0.9935765157147863,0.994140778974973
25,26,0.011699,-120.529877,39.96146,1690,-120.537483,39.952572,1843,-120.53368,39.957016,1766.5,0.2450759688609522,0.24380801521411088,0.24444199203753153,0.9935765157147863,0.9920951475693018,0.992835831642044
26,27,0.003144,-120.537483,39.952572,1843,-120.535881,39.949867,1836,-120.536682,39.9512195,1839.5,0.24380801521411088,0.24407507565879005,0.24394154543645047,0.9920951475693018,0.9916443036411352,0.9918697256052185
27,28,0.015525,-120.535881,39.949867,1836,-120.521393,39.94429,1829,-120.528637,39.9470785,1832.5,0.24407507565879005,0.24649028896873587,0.24528268231376296,0.9916443036411352,0.9907147817973726,0.9911795427192539
28,29,0.010425,-120.521393,39.94429,1829,-120.515091,39.935986,1772,-120.518242,39.940138000000005,1800.5,0.24649028896873587,0.2475408600813319,0.24701557452503387,0.9907147817973726,0.9893307492726079,0.9900227655349902
29,30,0.022388,-120.515091,39.935986,1772,-120.495071,39.925964,1843,-120.505081,39.930975,1807.5,0.2475408600813319,0.25087828211785324,0.24920957109959258,0.9893307492726079,0.9876603766855189,0.9884955629790634
30,31,0.009888,-120.495071,39.925964,1843,-120.491692,39.916672,1764,-120.4933815,39.921318,1803.5,0.25087828211785324,0.2514415762767637,0.25115992919730845,0.9876603766855189,0.9861116736243299,0.9868860251549244
31,32,0.012793,-120.491692,39.916672,1764,-120.486153,39.90514,1765,-120.4889225,39.910906,1764.5,0.2514415762767637,0.2523649519341207,0.25190326410544217,0.9861116736243299,0.9841896284562692,0.9851506510402996
32,33,0.01979,-120.486153,39.90514,1765,-120.472473,39.890839,1817,-120.479313,39.8979895,1791.0,0.2523649519341207,0.25464546809094546,0.25350521001253307,0.9841896284562692,0.9818060724427023,0.9829978504494858
33,34,0.025426,-120.472473,39.890839,1817,-120.452507,39.875095,1764,-120.46249,39.882967,1790.5,0.25464546809094546,0.2579738880900047,0.2563096780904751,0.9818060724427023,0.9791820107772535,0.9804940416099779
34,35,0.017032,-120.452507,39.875095,1764,-120.44072,39.862801,1687,-120.4466135,39.868948,1725.5,0.2579738880900047,0.2599388328224955,0.25895636045625015,0.9791820107772535,0.9771329626246212,0.9781574867009374
35,36,0.00265,-120.44072,39.862801,1687,-120.438301,39.861717,1659,-120.4395105,39.862259,1673.0,0.2599388328224955,0.2603420907598759,0.2601404617911857,0.9771329626246212,0.9769522917121883,0.9770426271684047
36,37,0.008134,-120.438301,39.861717,1659,-120.430252,39.860542,1667,-120.4342765,39.8611295,1663.0,0.2603420907598759,0.2616838944547788,0.26101299260732735,0.9769522917121883,0.9767564537766642,0.9768543727444263
37,38,0.014765,-120.430252,39.860542,1667,-120.422592,39.847919,1584,-120.426422,39.8542305,1625.5,0.2616838944547788,0.2629608501390822,0.2623223722969305,0.9767564537766642,0.9746525710020848,0.9757045123893745
38,39,0.012911,-120.422592,39.847919,1584,-120.41938,39.835415,1560,-120.420986,39.841667,1572.0,0.2629608501390822,0.2634963046636214,0.2632285774013518,0.9746525710020848,0.9725685220269339,0.9736105465145093
39,40,0.014259,-120.41938,39.835415,1560,-120.41758,39.82127,1486,-120.41848,39.8283425,1523.0,0.2634963046636214,0.2637963725789934,0.2636463386213074,0.9725685220269339,0.9702109666243821,0.971389744325658
40,41,0.00845,-120.41758,39.82127,1486,-120.409378,39.823303,1491,-120.413479,39.8222865,1488.5,0.2637963725789934,0.26516368204670243,0.2644800273128479,0.9702109666243821,0.9705498079204866,0.9703803872724344
40,45,0.006342,-120.41758,39.82127,1486,-120.423737,39.819748,1491,-120.4206585,39.820509,1488.5,0.2637963725789934,0.2627699736040251,0.2632831730915093,0.9702109666243821,0.9699572939964084,0.9700841303103953
41,42,0.025183,-120.409378,39.823303,1491,-120.384323,39.820766,1487,-120.3968505,39.8220345,1489.0,0.26516368204670243,0.2693404607242779,0.2672520713854902,0.9705498079204866,0.9701269646503358,0.9703383862854111
42,51,0.016011,-120.384323,39.820766,1487,-120.368362,39.819496,1491,-120.3763425,39.820131,1489.0,0.2693404607242779,0.2720012296116345,0.2706708451679562,0.9701269646503358,0.9699152930093858,0.9700211288298608
43,44,0.000642,-120.471123,39.807129,1476,-120.470482,39.807091,1478,-120.4708025,39.80711,1477.0,0.2548705190274721,0.2549773765462241,0.2549239477868481,0.9678540779041647,0.9678477444219938,0.9678509111630793
43,117,0.005688,-120.471123,39.807129,1476,-120.476784,39.807678,1479,-120.4739535,39.80740350000001,1477.5,0.2548705190274721,0.2539268054336305,0.2543986622305513,0.9678540779041647,0.9679455800544651,0.9678998289793148
44,50,0.010199,-120.470482,39.807091,1478,-120.460289,39.806725,1504,-120.4653855,39.806908,1491.0,0.2549773765462241,0.2566765944692142,0.25582698550771915,0.9678477444219938,0.9677867429884602,0.967817243705227
49,50,0.013105,-120.450493,39.81543,1489,-120.460289,39.806725,1504,-120.455391,39.8110775,1496.5,0.2583096307464264,0.2566765944692142,0.25749311260782026,0.969237610417178,0.9677867429884602,0.9685121767028191
45,46,0.007498,-120.423737,39.819748,1491,-120.430931,39.821861,1504,-120.427334,39.8208045,1497.5,0.2627699736040251,0.26157070216892386,0.2621703378864745,0.9699572939964084,0.9703094689391865,0.9701333814677975
46,47,0.006218,-120.430931,39.821861,1504,-120.437149,39.821934,1491,-120.43404,39.8218975,1497.5,0.26157070216892386,0.2605341342257121,0.26105241819731795,0.9703094689391865,0.9703216358917766,0.9703155524154815
